YEAR,Area,PUMA_components,n,hhwt_sum,median_water_burden,median_water_burden_pct,mean_water_burden_capped,mean_water_burden_capped_pct
2016,Detroit city area,Detroit City (Northeast) / Detroit City (South Central & Southeast) / Detroit City (Southwest) / Wayne County (Northeast)--I-94 Corridor / Detroit City (Northwest) / Detroit City (North Central),1429,173972,0.008333333333333335,0.8333333333333335,0.015360329069485769,1.5360329069485767
2016,Wayne County outside Detroit,"Wayne County (Central)--Westland, Garden City, Inkster & Wayne Cities / Wayne County (North Central)--Livonia City & Redford Charter Township / Wayne County (Central)--Dearborn & Dearborn Heights Cities / Wayne County (Northwest) / Wayne County (Southeast)--Downriver Area (North) / Wayne County (Southeast)--Downriver Area (South) / Wayne County (Southwest)",2838,328197,0.005316455696202531,0.5316455696202531,0.008825337487859384,0.8825337487859384
2017,Detroit city area,Detroit City (Northeast) / Detroit City (South Central & Southeast) / Detroit City (Southwest) / Wayne County (Northeast)--I-94 Corridor / Detroit City (Northwest) / Detroit City (North Central),1455,186127,0.01,1,0.015835520721578678,1.5835520721578678
2017,Wayne County outside Detroit,"Wayne County (Central)--Westland, Garden City, Inkster & Wayne Cities / Wayne County (North Central)--Livonia City & Redford Charter Township / Wayne County (Central)--Dearborn & Dearborn Heights Cities / Wayne County (Northwest) / Wayne County (Southeast)--Downriver Area (North) / Wayne County (Southeast)--Downriver Area (South) / Wayne County (Southwest)",2846,327385,0.0057692307692307696,0.576923076923077,0.009118159647139286,0.9118159647139286
2018,Detroit city area,Detroit City (Northeast) / Detroit City (South Central & Southeast) / Detroit City (Southwest) / Wayne County (Northeast)--I-94 Corridor / Detroit City (Northwest) / Detroit City (North Central),1411,184335,0.008888888888888889,0.8888888888888888,0.01586908238116986,1.586908238116986
2018,Wayne County outside Detroit,"Wayne County (Central)--Westland, Garden City, Inkster & Wayne Cities / Wayne County (North Central)--Livonia City & Redford Charter Township / Wayne County (Central)--Dearborn & Dearborn Heights Cities / Wayne County (Northwest) / Wayne County (Southeast)--Downriver Area (North) / Wayne County (Southeast)--Downriver Area (South) / Wayne County (Southwest)",2926,335104,0.0057777777777777775,0.5777777777777777,0.009828907573702979,0.9828907573702979
2019,Detroit city area,Detroit City (Northeast) / Detroit City (South Central & Southeast) / Detroit City (Southwest) / Wayne County (Northeast)--I-94 Corridor / Detroit City (Northwest) / Detroit City (North Central),1430,197727,0.00851063829787234,0.851063829787234,0.014272561779112033,1.4272561779112034
2019,Wayne County outside Detroit,"Wayne County (Central)--Westland, Garden City, Inkster & Wayne Cities / Wayne County (North Central)--Livonia City & Redford Charter Township / Wayne County (Central)--Dearborn & Dearborn Heights Cities / Wayne County (Northwest) / Wayne County (Southeast)--Downriver Area (North) / Wayne County (Southeast)--Downriver Area (South) / Wayne County (Southwest)",2997,345107,0.005312084993359894,0.5312084993359895,0.008814858075604283,0.8814858075604284
2020,Detroit city area,Detroit City (Northeast) / Detroit City (South Central & Southeast) / Detroit City (Southwest) / Wayne County (Northeast)--I-94 Corridor / Detroit City (Northwest) / Detroit City (North Central),1338,183614,0.0062499999999999995,0.625,0.01399367367566518,1.399367367566518
2020,Wayne County outside Detroit,"Wayne County (Central)--Westland, Garden City, Inkster & Wayne Cities / Wayne County (North Central)--Livonia City & Redford Charter Township / Wayne County (Central)--Dearborn & Dearborn Heights Cities / Wayne County (Northwest) / Wayne County (Southeast)--Downriver Area (North) / Wayne County (Southeast)--Downriver Area (South) / Wayne County (Southwest)",2889,342269,0.005374899220639612,0.5374899220639612,0.009436486977947797,0.9436486977947797
2021,Detroit city area,Detroit City (Northeast) / Detroit City (South Central & Southeast) / Detroit City (Southwest) / Wayne County (Northeast)--I-94 Corridor / Detroit City (Northwest) / Detroit City (North Central),1319,168199,0.00783625730994152,0.783625730994152,0.01508907569065611,1.508907569065611
2021,Wayne County outside Detroit,"Wayne County (Central)--Westland, Garden City, Inkster & Wayne Cities / Wayne County (North Central)--Livonia City & Redford Charter Township / Wayne County (Central)--Dearborn & Dearborn Heights Cities / Wayne County (Northwest) / Wayne County (Southeast)--Downriver Area (North) / Wayne County (Southeast)--Downriver Area (South) / Wayne County (Southwest)",3024,350678,0.005649717514124294,0.5649717514124294,0.0098600019445309,0.98600019445309
