YEAR,CPUMA0010,Area,PUMA_components,n,hhwt_sum,median_water_burden,water_burden_pct,mean_water_burden_capped,water_burden_index
2016,488,Outer Genesee / nearby counties,Genesee (East) & Lapeer Counties / Genesee (West) & Shiawassee Counties / St. Clair County,1846,181526,0,0,0.006979390258632683,0
2017,488,Outer Genesee / nearby counties,Genesee (East) & Lapeer Counties / Genesee (West) & Shiawassee Counties / St. Clair County,1872,180168,8e-4,0.08,0.0065898669935817175,26.152
2018,488,Outer Genesee / nearby counties,Genesee (East) & Lapeer Counties / Genesee (West) & Shiawassee Counties / St. Clair County,1900,185963,9.070294784580498e-4,0.09070294784580499,0.0070439275540541265,27.44957632175677
2019,488,Outer Genesee / nearby counties,Genesee (East) & Lapeer Counties / Genesee (West) & Shiawassee Counties / St. Clair County,1921,183365,0.0011538461538461537,0.11538461538461538,0.006733326064195278,35.32544378698225
2020,488,Outer Genesee / nearby counties,Genesee (East) & Lapeer Counties / Genesee (West) & Shiawassee Counties / St. Clair County,1885,184790,2.4868748273003594e-4,0.024868748273003595,0.006424832181512036,8.591022130673968
2021,488,Outer Genesee / nearby counties,Genesee (East) & Lapeer Counties / Genesee (West) & Shiawassee Counties / St. Clair County,1903,188476,0.0013803680981595093,0.13803680981595093,0.0070647330606669724,46.242331288343564
2016,489,Central Genesee outside Flint,"Genesee County (Central, Outside Flint City)",281,33748,0.006486486486486487,0.6486486486486487,0.011047576309058952,300.3243243243244
2017,489,Central Genesee outside Flint,"Genesee County (Central, Outside Flint City)",268,33129,0.0068914956011730194,0.689149560117302,0.01052803845187985,225.282991202346
2018,489,Central Genesee outside Flint,"Genesee County (Central, Outside Flint City)",255,31800,0.007361111111111111,0.736111111111111,0.012571126540245375,222.77046783625724
2019,489,Central Genesee outside Flint,"Genesee County (Central, Outside Flint City)",277,30579,0.007751937984496126,0.7751937984496126,0.012726136924200155,237.32856290995835
2020,489,Central Genesee outside Flint,"Genesee County (Central, Outside Flint City)",257,33095,0.007741935483870968,0.7741935483870968,0.011362924418553825,267.44868035190615
2021,489,Central Genesee outside Flint,"Genesee County (Central, Outside Flint City)",271,34840,0.006889763779527558,0.6889763779527558,0.012423283040491057,230.80708661417322
2016,490,Flint city area,Genesee County (Central)--Flint City Area,140,18160,0.018750000000000003,1.8750000000000002,0.023132035405696687,868.1250000000002
2017,490,Flint city area,Genesee County (Central)--Flint City Area,165,24824,0.0208768267223382,2.08768267223382,0.025722410373089068,682.4634655532358
2018,490,Flint city area,Genesee County (Central)--Flint City Area,150,24323,0.020425531914893613,2.042553191489361,0.0253492937733136,618.1410974244118
2019,490,Flint city area,Genesee County (Central)--Flint City Area,144,20833,0.01754385964912281,1.754385964912281,0.021636163693560046,537.1120107962215
2020,490,Flint city area,Genesee County (Central)--Flint City Area,157,26795,0.02222222222222222,2.222222222222222,0.023331548960554036,767.6767676767676
2021,490,Flint city area,Genesee County (Central)--Flint City Area,148,21811,0.02230483271375465,2.2304832713754648,0.025585818573767932,747.2118959107808
