YEAR,Borough,n,hhwt_sum,median_util_burden,mean_util_burden,median_burden_pct,mean_burden_pct
2009,Bronx,2582,321513,0.028,0.06223876267957099,2.8000000000000003,6.223876267957099
2009,Brooklyn,6121,689729,0.0275409836065574,0.1909212830750687,2.75409836065574,19.09212830750687
2009,Manhattan,5147,653397,0.0091764705882353,0.0285852599555806,0.9176470588235299,2.8585259955580598
2009,Queens,5736,667964,0.0292173913043478,0.08199030268059004,2.92173913043478,8.199030268059005
2009,Staten Island,1257,146477,0.0444444444444444,0.0858466953543093,4.444444444444439,8.58466953543093
2010,Bronx,2349,293975,0.03,0.05942679971119277,3,5.942679971119277
2010,Brooklyn,6139,681043,0.0305454545454545,0.6013563463200544,3.0545454545454502,60.13563463200544
2010,Manhattan,5118,616195,0.0102857142857143,1.2037373676823473,1.02857142857143,120.37373676823474
2010,Queens,5792,647405,0.0324929971988795,0.1068749547877396,3.24929971988795,10.687495478773961
2010,Staten Island,1318,143775,0.0471428571428571,0.09714614276840318,4.71428571428571,9.714614276840319
2011,Bronx,2413,285391,0.0318796992481203,0.07642489719470365,3.18796992481203,7.6424897194703645
2011,Brooklyn,6674,658367,0.028728813559322,0.43785395424264517,2.8728813559322,43.785395424264514
2011,Manhattan,3665,614223,0.0103448275862069,0.04441619107531227,1.03448275862069,4.441619107531227
2011,Queens,6151,641739,0.0318881118881119,0.09620552786951615,3.18881118881119,9.620552786951615
2011,Staten Island,1284,139533,0.045,0.09955983589599171,4.5,9.955983589599171
2012,Bronx,2474,295247,0.0289108910891089,0.07597279658444503,2.8910891089108897,7.597279658444503
2012,Brooklyn,6842,672566,0.0277272727272727,0.2555086473106622,2.7727272727272703,25.55086473106622
2012,Manhattan,3566,622406,0.0102065613608748,0.03261813532327258,1.02065613608748,3.2618135323272583
2012,Queens,6387,655570,0.0311787072243346,1.8012332759313956,3.11787072243346,180.12332759313955
2012,Staten Island,1254,140056,0.0455854727614277,0.08794360099495536,4.55854727614277,8.794360099495536
2013,Bronx,2340,288887,0.03,0.09317257509176854,3,9.317257509176855
2013,Brooklyn,6809,672791,0.0272727272727273,0.21054879736886842,2.7272727272727297,21.054879736886843
2013,Manhattan,3623,608817,0.00995850622406639,0.03713857643180613,0.9958506224066389,3.713857643180613
2013,Queens,6423,656535,0.03,0.12290970714301974,3,12.290970714301974
2013,Staten Island,1277,141406,0.0428571428571429,0.09913429805514344,4.28571428571429,9.913429805514344
2014,Bronx,2564,310927,0.03,0.07766818806239706,3,7.766818806239706
2014,Brooklyn,6958,700053,0.0273660205245154,0.6090796650398638,2.73660205245154,60.90796650398638
2014,Manhattan,3714,638979,0.00952380952380952,0.7915607103915089,0.952380952380952,79.15607103915089
2014,Queens,6465,662307,0.0293333333333333,0.07609229303909427,2.93333333333333,7.609229303909427
2014,Staten Island,1263,139428,0.048,0.10920489537344258,4.8,10.920489537344258
2015,Bronx,2473,309799,0.0278048780487805,0.06441090523609456,2.78048780487805,6.441090523609456
2015,Brooklyn,7111,701796,0.0241448692152917,0.06801885800054755,2.41448692152917,6.801885800054755
2015,Manhattan,3686,634245,0.00986301369863014,0.06049008381265479,0.986301369863014,6.049008381265479
2015,Queens,6689,657521,0.0269682470639408,0.07350641216260789,2.69682470639408,7.350641216260789
2015,Staten Island,1293,142056,0.0441071428571429,0.0845526483636442,4.41071428571429,8.455264836364421
2016,Bronx,2436,317071,0.0268235294117647,0.06081967829362458,2.68235294117647,6.0819678293624575
2016,Brooklyn,7201,705211,0.0233333333333333,0.06883038183244579,2.33333333333333,6.883038183244579
2016,Manhattan,3768,631150,0.00931545518701482,0.5048978450801005,0.9315455187014821,50.48978450801005
2016,Queens,6705,650090,0.0260461144321093,0.19588730176528607,2.60461144321093,19.588730176528607
2016,Staten Island,1275,142338,0.04,1.2338958744209796,4,123.38958744209796
2017,Bronx,8140,815036,0.02907133243607,0.08430127433822668,2.9071332436070003,8.430127433822667
2017,Brooklyn,10488,1072417,0.0271300448430493,0.07838123581468831,2.71300448430493,7.838123581468831
2017,Manhattan,4800,718370,0.00962765957446808,0.04895788784625855,0.9627659574468079,4.8957887846258545
2017,Queens,14943,1558748,0.0276923076923077,0.0663935003369793,2.76923076923077,6.63935003369793
2017,Staten Island,1263,143907,0.037095501183899,0.12881244729259944,3.7095501183899002,12.881244729259944
2018,Bronx,8109,817433,0.0295652173913043,0.0938470209609312,2.95652173913043,9.38470209609312
2018,Brooklyn,10691,1095986,0.0272727272727273,0.09942723566621509,2.7272727272727297,9.942723566621508
2018,Manhattan,4917,722856,0.00978450786255096,0.04061712129749872,0.9784507862550961,4.061712129749872
2018,Queens,14959,1593810,0.0280442804428044,0.10143855966935528,2.80442804428044,10.143855966935527
2018,Staten Island,1252,144851,0.0381538461538461,0.6079200405348003,3.8153846153846103,60.79200405348003
2019,Bronx,8264,836552,0.0292207792207792,0.11931057521321567,2.92207792207792,11.931057521321566
2019,Brooklyn,10670,1127983,0.0257645259938838,0.0642372156170282,2.57645259938838,6.423721561702821
2019,Manhattan,5150,737510,0.00846959181272791,0.03699339864345624,0.8469591812727909,3.6993398643456246
2019,Queens,15134,1614550,0.027027027027027,0.08456270866361018,2.7027027027027,8.456270866361018
2019,Staten Island,1291,145497,0.0334494773519164,0.07007748822773793,3.34494773519164,7.007748822773793
2020,Bronx,6571,848687,0.0299736147757256,0.10935325910193634,2.99736147757256,10.935325910193635
2020,Brooklyn,8264,1107408,0.0255047821466525,0.07877904531861743,2.55047821466525,7.877904531861743
2020,Manhattan,3718,667032,0.0104196816208394,0.04615746338620304,1.04196816208394,4.615746338620304
2020,Queens,12279,1601967,0.0276859504132231,0.11266069612769905,2.76859504132231,11.266069612769906
2020,Staten Island,1050,147223,0.036,0.07264952413975427,3.5999999999999996,7.264952413975427
2021,Bronx,7933,836969,0.0317777777777778,0.16886396539018653,3.1777777777777803,16.88639653901865
2021,Brooklyn,9984,1147529,0.0264705882352941,0.17289183833368366,2.64705882352941,17.289183833368366
2021,Manhattan,4814,700421,0.0116173120728929,0.2495129831015335,1.16173120728929,24.95129831015335
2021,Queens,15006,1640520,0.0290143964562569,0.12237845481624482,2.90143964562569,12.237845481624483
2021,Staten Island,1200,145678,0.0387016229712859,0.08462921192732563,3.87016229712859,8.462921192732562
2022,Bronx,6148,606173,0.0359550561797753,0.15595946580280914,3.5955056179775298,15.595946580280915
2022,Brooklyn,1099,88516,0.0388059701492537,0.0713894643203272,3.88059701492537,7.13894643203272
2022,Manhattan,1974,209312,0.0363688927435675,0.089653641993098,3.63688927435675,8.9653641993098
2022,Queens,5330,746482,0.0152542372881356,0.16269421432128267,1.5254237288135601,16.26942143212827
2022,Staten Island,1353,142592,0.0278401997503121,0.4801485015191859,2.7840199750312102,48.014850151918594
2023,Bronx,6261,612180,0.0373121131741821,0.09804585715262604,3.73121131741821,9.804585715262604
2023,Brooklyn,1105,85913,0.0392,0.10460208618232025,3.92,10.460208618232025
2023,Manhattan,2058,213056,0.0381538461538462,0.881523667663664,3.8153846153846196,88.1523667663664
2023,Queens,5290,729124,0.015875,0.051609083923831525,1.5875,5.160908392383153
2023,Staten Island,1364,139859,0.0277894736842105,0.0613887603585334,2.7789473684210497,6.13887603585334
2009,NYC overall,20843,2479080,0.0226415094339623,0.0958876587257482,2.26415094339623,9.58876587257482
2010,NYC overall,20716,2382393,0.0248780487804878,0.5254863650421486,2.48780487804878,52.54863650421486
2011,NYC overall,20187,2339253,0.0248275862068966,0.1765485563513413,2.48275862068966,17.65485563513413
2012,NYC overall,20523,2385845,0.0237885462555066,0.590034314876959,2.3788546255506597,59.0034314876959
2013,NYC overall,20472,2368436,0.0232258064516129,0.120710455105625,2.32258064516129,12.0710455105625
2014,NYC overall,20964,2451694,0.023013698630137,0.41683445532071145,2.3013698630137003,41.68344553207115
2015,NYC overall,21252,2445417,0.0213649851632047,0.06804506158085177,2.13649851632047,6.804506158085177
2016,NYC overall,21385,2445860,0.0203076923076923,0.281890631728273,2.03076923076923,28.1890631728273
