Borough,group,n,hhwt_sum,median_util_burden,median_burden_pct,burden_index
Bronx,Black households,405,54730,0.0458181818181818,4.58181818181818,166.5454545454544
Bronx,White households,3587,340566,0.0363451776649746,3.6345177664974604,132.1118362742727
Brooklyn,Black households,12,1282,NA,NA,NA
Brooklyn,White households,1043,80882,0.0385692068429238,3.85692068429238,140.1960058258658
Manhattan,Black households,131,19156,0.048,4.8,174.47619047619037
Manhattan,White households,1616,160453,0.0365217391304348,3.65217391304348,132.75362318840578
Queens,Black households,509,91595,0.0257328990228013,2.57328990228013,93.53704565430944
Queens,White households,3459,433492,0.0146050670640835,1.46050670640835,53.08825964563682
Staten Island,Black households,18,3818,NA,NA,NA
Staten Island,White households,1165,114168,0.0279260780287474,2.79260780287474,101.50907727909764
